Date,Basket_Amount,Upgrade_Fee,Promotion_Type,Promotion_Eligible,Net_Upgrade_Cost,Age_Group,Shopper_Type,Group_Size,Sales_Outcome,Refusal_Reason,Upgrade_Opportunity
1/3/2026,97.77,18.28,Spend20_Save10,Yes,8.28,60+,Family,4+,Declined,Infrequent Shopper,High
1/3/2026,169.02,24.75,Spend20_Save10,Yes,14.75,45-59,Couple,2,Declined,Not Account Owner,High
1/3/2026,42.65,22.47,Spend20_Save10,Yes,12.47,18-29,Family,3,Declined,Other,Medium
1/3/2026,94.11,27.44,Spend20_Save10,Yes,17.44,30-44,Family,3,Accepted,N/A,Medium
1/3/2026,256.46,52.55,Spend20_Save10,Yes,42.55,60+,Business,2,Declined,Not Account Owner,Medium
1/3/2026,41.82,53.44,Spend20_Save10,Yes,43.44,30-44,Couple,2,Declined,Not Account Owner,Low
1/3/2026,67.56,28.74,Spend20_Save10,Yes,18.74,60+,Couple,2,Accepted,N/A,Medium
1/4/2026,163.05,15.02,Spend20_Save10,Yes,5.02,30-44,Family,3,Accepted,N/A,High
1/4/2026,187.34,34.81,Spend20_Save10,Yes,24.81,18-29,Couple,2,Declined,Doesn't Want Renewal Fee,High
1/4/2026,27.92,23.35,Spend20_Save10,Yes,13.35,30-44,Individual,1,Declined,Not Account Owner,Medium
1/4/2026,148.88,11.34,Spend20_Save10,Yes,1.34,30-44,Family,3,Accepted,N/A,High
1/4/2026,51.09,46.01,Spend20_Save10,Yes,36.01,30-44,Couple,2,Accepted,N/A,Medium
1/4/2026,31.11,34.27,Spend20_Save10,Yes,24.27,30-44,Individual,1,Declined,Doesn't Want Renewal Fee,Medium
1/4/2026,81.59,30.54,Spend20_Save10,Yes,20.54,45-59,Family,4+,Accepted,N/A,Medium
1/4/2026,64.97,27.72,Spend20_Save10,Yes,17.72,30-44,Family,4+,Accepted,N/A,Medium
1/4/2026,281.18,9.77,Spend20_Save10,Yes,-0.23,60+,Business,1,Declined,Not Account Owner,High
1/4/2026,24.62,13.98,Spend20_Save10,Yes,3.98,18-29,Individual,1,Declined,Not Account Owner,Medium
1/5/2026,13.93,8.94,Spend20_Save10,No,8.94,18-29,Individual,1,Not_Presented,N/A,Medium
1/5/2026,21.12,34.67,Spend20_Save10,Yes,24.67,45-59,Individual,1,Accepted,N/A,Medium
1/5/2026,11.53,23.38,Spend20_Save10,No,23.38,60+,Individual,1,Not_Presented,N/A,Low
1/5/2026,45.77,43.97,Spend20_Save10,Yes,33.97,30-44,Individual,1,Accepted,N/A,Low
1/5/2026,31.98,9.62,Spend20_Save10,Yes,-0.38,30-44,Individual,1,Declined,Infrequent Shopper,Medium
1/5/2026,213.91,6.45,Spend20_Save10,Yes,-3.55,18-29,Business,1,Accepted,N/A,High
1/5/2026,45.34,13.67,Spend20_Save10,Yes,3.67,30-44,Couple,2,Declined,Lack of Premium Knowledge,Medium
1/5/2026,78.76,18.63,Spend20_Save10,Yes,8.63,45-59,Family,4+,Declined,Infrequent Shopper,High
1/5/2026,22.37,13.9,Spend20_Save10,Yes,3.9,30-44,Individual,1,Declined,Not Account Owner,Medium
1/6/2026,49.41,30.2,Spend20_Save10,Yes,20.2,30-44,Couple,2,Declined,Not Account Owner,Medium
1/6/2026,60.44,55.87,Spend20_Save10,Yes,45.87,30-44,Couple,2,Declined,Other,Medium
1/6/2026,79.77,18.76,Spend20_Save10,Yes,8.76,45-59,Family,4+,Declined,Price Concern,High
1/6/2026,321.89,47.34,Spend20_Save10,Yes,37.34,45-59,Business,2,Declined,Price Concern,Medium
1/6/2026,66.2,9.51,Spend20_Save10,Yes,-0.49,30-44,Family,3,Accepted,N/A,High
1/6/2026,166.52,43.22,Spend20_Save10,Yes,33.22,60+,Family,3,Accepted,N/A,Medium
1/6/2026,202,15.24,Spend20_Save10,Yes,5.24,30-44,Business,1,Accepted,N/A,High
1/7/2026,285,29.67,Spend20_Save10,Yes,19.67,30-44,Business,1,Accepted,N/A,High
1/7/2026,21.04,34.48,Spend20_Save10,Yes,24.48,30-44,Individual,1,Declined,Not Account Owner,Medium
1/7/2026,74.11,42.09,Spend20_Save10,Yes,32.09,18-29,Family,3,Accepted,N/A,Medium
1/7/2026,172.54,20.87,Spend20_Save10,Yes,10.87,45-59,Family,3,Declined,Infrequent Shopper,High
1/7/2026,82.45,12.08,Spend20_Save10,Yes,2.08,18-29,Individual,1,Accepted,N/A,High
1/7/2026,42.2,3.33,Spend20_Save10,Yes,-6.67,30-44,Couple,2,Declined,Other,Medium
1/7/2026,283.39,12.28,Spend20_Save10,Yes,2.28,30-44,Business,3,Accepted,N/A,High
1/7/2026,181.25,33.99,Spend20_Save10,Yes,23.99,30-44,Business,1,Accepted,N/A,High
1/8/2026,22.23,6.89,No_Promotion,N/A,6.89,30-44,Individual,1,Accepted,N/A,Medium
1/8/2026,30.63,13.55,No_Promotion,N/A,13.55,30-44,Couple,2,Declined,Doesn't Want Renewal Fee,Medium
1/8/2026,12.99,9.25,No_Promotion,N/A,9.25,30-44,Individual,1,Accepted,N/A,Medium
1/9/2026,58.21,50.38,No_Promotion,N/A,50.38,45-59,Individual,1,Declined,Basket Below Promotion Threshold,Low
1/9/2026,92.5,19.62,No_Promotion,N/A,19.62,18-29,Individual,1,Accepted,N/A,Medium
1/9/2026,195.21,15.63,No_Promotion,N/A,15.63,30-44,Family,3,Accepted,N/A,High
1/9/2026,57.76,6.95,No_Promotion,N/A,6.95,45-59,Couple,2,Declined,Infrequent Shopper,Medium
1/9/2026,82.63,29.86,No_Promotion,N/A,29.86,18-29,Family,4+,Declined,Not Account Owner,Medium
1/10/2026,158.41,47.01,Spend40_Save20,Yes,27.01,45-59,Family,3,Accepted,N/A,Medium
1/10/2026,246.21,14.87,Spend40_Save20,Yes,-5.13,30-44,Family,4+,Accepted,N/A,High
1/10/2026,162.64,3.68,Spend40_Save20,Yes,-16.32,60+,Family,4+,Accepted,N/A,High
1/10/2026,49.77,50.35,Spend40_Save20,Yes,30.35,30-44,Individual,1,Declined,Not Account Owner,Low
1/10/2026,46.1,24.77,Spend40_Save20,Yes,4.77,18-29,Individual,1,Declined,Not Account Owner,Medium
1/10/2026,96.76,48.19,Spend40_Save20,Yes,28.19,45-59,Individual,1,Declined,Other,Medium
1/10/2026,25.26,10.55,Spend40_Save20,No,10.55,45-59,Individual,1,Not_Presented,N/A,Medium
1/10/2026,42.3,11.05,Spend40_Save20,Yes,-8.95,18-29,Individual,1,Declined,Infrequent Shopper,Medium
1/10/2026,94,17.22,Spend40_Save20,Yes,-2.78,30-44,Couple,2,Accepted,N/A,High
1/10/2026,105.38,30.54,Spend40_Save20,Yes,10.54,45-59,Family,3,Declined,Other,High
1/10/2026,160.03,2.76,Spend40_Save20,Yes,-17.24,30-44,Family,4+,Accepted,N/A,High
1/10/2026,43.4,6.82,Spend40_Save20,Yes,-13.18,30-44,Individual,1,Declined,Infrequent Shopper,Medium
1/11/2026,41.42,22.33,Spend40_Save20,Yes,2.33,18-29,Individual,1,Declined,Doesn't Want Renewal Fee,Medium
1/11/2026,68.96,29.51,Spend40_Save20,Yes,9.51,30-44,Couple,2,Accepted,N/A,Medium
1/11/2026,107.73,33.63,Spend40_Save20,Yes,13.63,45-59,Family,3,Accepted,N/A,High
1/11/2026,42.2,44.58,Spend40_Save20,Yes,24.58,30-44,Couple,2,Declined,Infrequent Shopper,Low
1/11/2026,32.06,10.37,Spend40_Save20,No,10.37,30-44,Couple,2,Not_Presented,N/A,Medium
1/11/2026,54.89,49.8,Spend40_Save20,Yes,29.8,30-44,Couple,2,Declined,Other,Medium
1/11/2026,57.63,25.78,Spend40_Save20,Yes,5.78,30-44,Couple,2,Declined,Infrequent Shopper,Medium
1/11/2026,142.04,13.5,Spend40_Save20,Yes,-6.5,45-59,Family,3,Accepted,N/A,High
1/11/2026,40.46,14.36,Spend40_Save20,Yes,-5.64,30-44,Individual,1,Accepted,N/A,Medium
1/11/2026,54.77,6.94,Spend40_Save20,Yes,-13.06,45-59,Couple,2,Accepted,N/A,High
1/11/2026,47.93,47.61,Spend40_Save20,Yes,27.61,18-29,Couple,2,Declined,Not Account Owner,Low
1/11/2026,54.05,21.1,Spend40_Save20,Yes,1.1,30-44,Individual,1,Declined,Lack of Premium Knowledge,Medium
1/11/2026,142.6,30.04,Spend40_Save20,Yes,10.04,18-29,Couple,2,Accepted,N/A,High
1/12/2026,71.43,27.27,Spend40_Save20,Yes,7.27,30-44,Individual,1,Declined,Not Account Owner,Medium
1/12/2026,113.19,31.79,Spend40_Save20,Yes,11.79,45-59,Family,3,Accepted,N/A,High
1/12/2026,57.14,28.72,Spend40_Save20,Yes,8.72,18-29,Individual,1,Accepted,N/A,Medium
1/12/2026,97.39,53.19,Spend40_Save20,Yes,33.19,18-29,Business,2,Accepted,N/A,Medium
1/12/2026,143.59,11.82,Spend40_Save20,Yes,-8.18,45-59,Family,3,Accepted,N/A,High
1/12/2026,48.43,24.62,Spend40_Save20,Yes,4.62,30-44,Couple,2,Declined,Other,Medium
1/12/2026,47.89,2.97,Spend40_Save20,Yes,-17.03,45-59,Individual,1,Declined,Not Account Owner,Medium
1/12/2026,40.93,33.62,Spend40_Save20,Yes,13.62,45-59,Couple,2,Accepted,N/A,Medium
1/12/2026,97.66,5.22,Spend40_Save20,Yes,-14.78,30-44,Couple,2,Declined,Infrequent Shopper,High
1/12/2026,98.74,8.5,Spend40_Save20,Yes,-11.5,45-59,Couple,2,Declined,Infrequent Shopper,High
1/12/2026,92.19,10.08,Spend40_Save20,Yes,-9.92,18-29,Individual,1,Declined,Lack of Premium Knowledge,High
1/12/2026,39.91,30.62,Spend40_Save20,No,30.62,45-59,Couple,2,Not_Presented,N/A,Low
1/12/2026,42.98,2.49,Spend40_Save20,Yes,-17.51,45-59,Individual,1,Accepted,N/A,Medium
1/13/2026,151.39,34.78,Spend40_Save20,Yes,14.78,30-44,Couple,2,Accepted,N/A,High
1/13/2026,115.45,34.36,Spend40_Save20,Yes,14.36,30-44,Family,4+,Accepted,N/A,High
1/13/2026,29.47,26.99,Spend40_Save20,No,26.99,45-59,Individual,1,Not_Presented,N/A,Low
1/13/2026,57.96,59.56,Spend40_Save20,Yes,39.56,30-44,Individual,1,Declined,Infrequent Shopper,Medium
1/13/2026,139.12,29.28,Spend40_Save20,Yes,9.28,45-59,Family,3,Accepted,N/A,High
1/13/2026,162.01,2.75,Spend40_Save20,Yes,-17.25,18-29,Business,1,Accepted,N/A,High
1/13/2026,82.86,10.55,Spend40_Save20,Yes,-9.45,45-59,Couple,2,Declined,Other,High
1/13/2026,79.56,30.21,Spend40_Save20,Yes,10.21,30-44,Couple,2,Declined,Price Concern,Medium
1/13/2026,40.06,39,Spend40_Save20,Yes,19,45-59,Individual,1,Declined,Doesn't Want Renewal Fee,Medium
1/13/2026,47.19,41.82,Spend40_Save20,Yes,21.82,60+,Couple,2,Declined,Lack of Premium Knowledge,Low
1/14/2026,40.44,27.3,Spend40_Save20,Yes,7.3,60+,Couple,2,Accepted,N/A,Medium
1/14/2026,92.32,16.34,Spend40_Save20,Yes,-3.66,60+,Couple,2,Accepted,N/A,High
1/14/2026,305.34,49.31,Spend40_Save20,Yes,29.31,30-44,Business,1,Declined,Doesn't Want Renewal Fee,Medium
1/14/2026,41.45,34.57,Spend40_Save20,Yes,14.57,30-44,Couple,2,Accepted,N/A,Medium
1/14/2026,48.96,7.51,Spend40_Save20,Yes,-12.49,45-59,Couple,2,Accepted,N/A,Medium
1/14/2026,48.65,3.5,Spend40_Save20,Yes,-16.5,18-29,Couple,2,Declined,Other,Medium
1/14/2026,48.22,53.93,Spend40_Save20,Yes,33.93,18-29,Family,3,Declined,Price Concern,Low
1/14/2026,96.54,7.38,Spend40_Save20,Yes,-12.62,30-44,Couple,2,Declined,Other,High
1/14/2026,43.88,18.25,Spend40_Save20,Yes,-1.75,18-29,Individual,1,Declined,Infrequent Shopper,Medium
1/15/2026,38.41,19.05,Spend40_Save20,No,19.05,30-44,Family,4+,Not_Presented,N/A,Medium
1/15/2026,128.85,4.83,Spend40_Save20,Yes,-15.17,45-59,Family,3,Declined,Not Account Owner,High
1/15/2026,167.79,27.26,Spend40_Save20,Yes,7.26,60+,Family,3,Declined,Infrequent Shopper,High
1/15/2026,41.83,4.98,Spend40_Save20,Yes,-15.02,60+,Family,4+,Declined,Not Account Owner,Medium
1/15/2026,46.69,14.35,Spend40_Save20,Yes,-5.65,30-44,Couple,2,Accepted,N/A,Medium
1/15/2026,346.88,27.38,Spend40_Save20,Yes,7.38,45-59,Business,1,Accepted,N/A,High
1/15/2026,52.91,18.04,Spend40_Save20,Yes,-1.96,45-59,Family,3,Accepted,N/A,High
1/15/2026,80.49,34.77,Spend40_Save20,Yes,14.77,30-44,Couple,2,Declined,Other,Medium
1/15/2026,116.88,33.82,Spend40_Save20,Yes,13.82,45-59,Family,3,Accepted,N/A,High
1/15/2026,45.18,26.9,Spend40_Save20,Yes,6.9,30-44,Individual,1,Accepted,N/A,Medium
1/15/2026,72.67,8.15,Spend40_Save20,Yes,-11.85,30-44,Individual,1,Declined,Infrequent Shopper,High
1/15/2026,190.34,18.19,Spend40_Save20,Yes,-1.81,30-44,Business,1,Declined,Other,High
1/15/2026,49.19,18.59,Spend40_Save20,Yes,-1.41,30-44,Individual,1,Accepted,N/A,Medium
1/16/2026,87.26,3.77,Spend40_Save20,Yes,-16.23,18-29,Couple,2,Accepted,N/A,High
1/16/2026,123.41,27.05,Spend40_Save20,Yes,7.05,60+,Family,3,Accepted,N/A,High
1/16/2026,49.76,2.18,Spend40_Save20,Yes,-17.82,45-59,Individual,1,Accepted,N/A,Medium
1/16/2026,44.88,27.05,Spend40_Save20,Yes,7.05,30-44,Individual,1,Declined,Infrequent Shopper,Medium
1/16/2026,196.33,14.98,Spend40_Save20,Yes,-5.02,18-29,Family,3,Declined,Language Barrier,High
1/16/2026,53.51,40.73,Spend40_Save20,Yes,20.73,45-59,Individual,1,Declined,Infrequent Shopper,Medium
1/16/2026,190.02,34.1,Spend40_Save20,Yes,14.1,45-59,Business,1,Accepted,N/A,High
1/16/2026,52.55,17.11,Spend40_Save20,Yes,-2.89,45-59,Couple,2,Declined,Lack of Premium Knowledge,High
1/16/2026,23.89,13.49,Spend40_Save20,No,13.49,45-59,Individual,1,Not_Presented,N/A,Medium
1/16/2026,44.81,5.41,Spend40_Save20,Yes,-14.59,30-44,Family,3,Declined,Infrequent Shopper,Medium
1/16/2026,64.88,38.95,Spend40_Save20,Yes,18.95,30-44,Couple,2,Accepted,N/A,Medium
1/16/2026,44.31,18.83,Spend40_Save20,Yes,-1.17,45-59,Couple,2,Declined,Infrequent Shopper,Medium
1/16/2026,29.31,45.39,Spend40_Save20,No,45.39,60+,Individual,1,Not_Presented,N/A,Low
1/16/2026,160.28,15.44,Spend40_Save20,Yes,-4.56,45-59,Family,3,Accepted,N/A,High
1/16/2026,53.72,35.69,Spend40_Save20,Yes,15.69,60+,Individual,1,Declined,Infrequent Shopper,Medium
1/17/2026,41,26.68,Spend40_Save20,Yes,6.68,18-29,Individual,1,Declined,Price Concern,Medium
1/17/2026,25.21,13.15,Spend40_Save20,No,13.15,30-44,Couple,2,Not_Presented,N/A,Medium
1/17/2026,48.87,42.83,Spend40_Save20,Yes,22.83,18-29,Couple,2,Declined,Other,Low
1/17/2026,46.5,35.13,Spend40_Save20,Yes,15.13,45-59,Couple,2,Declined,Infrequent Shopper,Medium
1/17/2026,45.63,6.26,Spend40_Save20,Yes,-13.74,30-44,Individual,1,Accepted,N/A,Medium
1/17/2026,174.57,8.62,Spend40_Save20,Yes,-11.38,30-44,Couple,2,Accepted,N/A,High
1/17/2026,43.65,26.95,Spend40_Save20,Yes,6.95,18-29,Couple,2,Accepted,N/A,Medium
1/17/2026,41.24,54.73,Spend40_Save20,Yes,34.73,30-44,Family,3,Declined,Price Concern,Low
1/17/2026,138.53,42.16,Spend40_Save20,Yes,22.16,60+,Family,4+,Accepted,N/A,Medium
1/17/2026,49.69,2.17,Spend40_Save20,Yes,-17.83,60+,Individual,1,Accepted,N/A,Medium
1/17/2026,46.79,30.18,Spend40_Save20,Yes,10.18,60+,Individual,1,Accepted,N/A,Medium
1/17/2026,48.01,16.54,Spend40_Save20,Yes,-3.46,45-59,Family,4+,Accepted,N/A,Medium
1/17/2026,67.9,35.65,Spend40_Save20,Yes,15.65,30-44,Family,3,Declined,Price Concern,Medium
1/17/2026,193.13,36.07,Spend40_Save20,Yes,16.07,60+,Couple,2,Declined,Lack of Premium Knowledge,High
1/18/2026,89.77,39.99,Spend40_Save20,Yes,19.99,18-29,Family,4+,Accepted,N/A,Medium
1/18/2026,30.04,22.02,Spend40_Save20,No,22.02,18-29,Couple,2,Not_Presented,N/A,Low
1/18/2026,11.32,13.02,Spend40_Save20,No,13.02,45-59,Couple,2,Not_Presented,N/A,Medium
1/18/2026,57.94,17.33,Spend40_Save20,Yes,-2.67,45-59,Individual,1,Declined,Infrequent Shopper,High
1/18/2026,41.2,47.49,Spend40_Save20,Yes,27.49,30-44,Family,4+,Declined,Price Concern,Low
1/18/2026,77.38,29.35,Spend40_Save20,Yes,9.35,30-44,Business,3,Accepted,N/A,Medium
1/18/2026,166.71,26.57,Spend40_Save20,Yes,6.57,45-59,Business,2,Accepted,N/A,High
1/18/2026,31.51,12.81,Spend40_Save20,No,12.81,30-44,Individual,1,Not_Presented,N/A,Medium
1/18/2026,47.18,34.58,Spend40_Save20,Yes,14.58,18-29,Family,3,Declined,Doesn't Want Renewal Fee,Medium
1/18/2026,110.87,11.07,Spend40_Save20,Yes,-8.93,45-59,Couple,2,Accepted,N/A,High
1/19/2026,48.15,30.18,Spend40_Save20,Yes,10.18,45-59,Couple,2,Declined,Price Concern,Medium
1/19/2026,42.84,30.67,Spend40_Save20,Yes,10.67,45-59,Couple,2,Declined,Infrequent Shopper,Medium
1/19/2026,64.08,16.44,Spend40_Save20,Yes,-3.56,18-29,Family,4+,Accepted,N/A,High
1/19/2026,152.01,27.68,Spend40_Save20,Yes,7.68,30-44,Business,1,Accepted,N/A,High
1/19/2026,125.64,23.66,Spend40_Save20,Yes,3.66,18-29,Family,3,Accepted,N/A,High
1/19/2026,43.32,22.9,Spend40_Save20,Yes,2.9,30-44,Individual,1,Declined,Lack of Premium Knowledge,Medium
1/19/2026,87.49,17.58,Spend40_Save20,Yes,-2.42,45-59,Individual,1,Accepted,N/A,High
1/19/2026,61.31,33.48,Spend40_Save20,Yes,13.48,30-44,Couple,2,Accepted,N/A,Medium
1/19/2026,99.13,9.36,Spend40_Save20,Yes,-10.64,45-59,Family,3,Accepted,N/A,High
1/19/2026,41.31,26.99,Spend40_Save20,Yes,6.99,18-29,Couple,2,Accepted,N/A,Medium
1/19/2026,49.57,6.39,Spend40_Save20,Yes,-13.61,18-29,Couple,2,Accepted,N/A,Medium
1/19/2026,49.73,17.36,Spend40_Save20,Yes,-2.64,30-44,Individual,1,Accepted,N/A,Medium
1/19/2026,76.67,46.82,Spend40_Save20,Yes,26.82,45-59,Individual,1,Accepted,N/A,Medium
1/19/2026,46.62,11.62,Spend40_Save20,Yes,-8.38,60+,Couple,2,Declined,Infrequent Shopper,Medium
1/20/2026,46.59,37.31,Spend40_Save20,Yes,17.31,45-59,Individual,1,Accepted,N/A,Medium
1/20/2026,46.37,13.86,Spend40_Save20,Yes,-6.14,45-59,Individual,1,Declined,Infrequent Shopper,Medium
1/20/2026,47.17,37.92,Spend40_Save20,Yes,17.92,18-29,Individual,1,Declined,Not Account Owner,Medium
1/20/2026,162.89,53.29,Spend40_Save20,Yes,33.29,60+,Family,3,Accepted,N/A,Medium
1/20/2026,175.13,43.71,Spend40_Save20,Yes,23.71,45-59,Family,3,Declined,Language Barrier,Medium
1/20/2026,65.34,26.19,Spend40_Save20,Yes,6.19,18-29,Individual,1,Declined,Language Barrier,Medium
1/20/2026,275.3,3.48,Spend40_Save20,Yes,-16.52,45-59,Family,4+,Declined,Not Account Owner,High
1/20/2026,86.66,44.49,Spend40_Save20,Yes,24.49,45-59,Family,4+,Accepted,N/A,Medium
1/20/2026,53.32,2.1,Spend40_Save20,Yes,-17.9,45-59,Individual,1,Accepted,N/A,High
1/20/2026,48.31,49.25,Spend40_Save20,Yes,29.25,18-29,Individual,1,Accepted,N/A,Low
1/20/2026,63.2,16.85,Spend40_Save20,Yes,-3.15,18-29,Family,3,Accepted,N/A,High
1/20/2026,580.53,6.95,Spend40_Save20,Yes,-13.05,45-59,Business,1,Accepted,N/A,High
1/20/2026,45.23,12.88,Spend40_Save20,Yes,-7.12,45-59,Individual,1,Declined,Infrequent Shopper,Medium
1/20/2026,42.39,8.53,Spend40_Save20,Yes,-11.47,18-29,Couple,2,Accepted,N/A,Medium
1/21/2026,45.03,19.33,Spend40_Save20,Yes,-0.67,45-59,Individual,1,Accepted,N/A,Medium
1/21/2026,98.89,22.92,Spend40_Save20,Yes,2.92,18-29,Family,3,Accepted,N/A,Medium
1/21/2026,22.19,53.24,Spend40_Save20,No,53.24,30-44,Couple,2,Not_Presented,N/A,Low
1/21/2026,81.73,26.22,Spend40_Save20,Yes,6.22,18-29,Couple,2,Declined,Other,Medium
1/21/2026,46.72,14.03,Spend40_Save20,Yes,-5.97,60+,Individual,1,Accepted,N/A,Medium
1/21/2026,41.58,28.39,Spend40_Save20,Yes,8.39,60+,Couple,2,Accepted,N/A,Medium
1/21/2026,88.86,36.24,Spend40_Save20,Yes,16.24,45-59,Family,3,Declined,Infrequent Shopper,Medium
1/21/2026,47.67,8.25,Spend40_Save20,Yes,-11.75,45-59,Couple,2,Accepted,N/A,Medium
1/21/2026,49.91,49.11,Spend40_Save20,Yes,29.11,45-59,Couple,2,Declined,Infrequent Shopper,Low
1/21/2026,43.58,19.46,Spend40_Save20,Yes,-0.54,45-59,Family,4+,Accepted,N/A,Medium
1/21/2026,402.59,34.19,Spend40_Save20,Yes,14.19,45-59,Business,1,Declined,Not Account Owner,High
1/21/2026,58.76,9.15,Spend40_Save20,Yes,-10.85,30-44,Individual,1,Accepted,N/A,High
1/21/2026,46.68,23.17,Spend40_Save20,Yes,3.17,30-44,Couple,2,Accepted,N/A,Medium
1/22/2026,21.34,27.78,Spend40_Save20,No,27.78,45-59,Individual,1,Not_Presented,N/A,Low
1/22/2026,69.02,17.41,Spend40_Save20,Yes,-2.59,60+,Individual,1,Declined,Not Account Owner,High
1/22/2026,47.43,55.92,Spend40_Save20,Yes,35.92,30-44,Couple,2,Declined,Price Concern,Low
1/22/2026,146.46,15.54,Spend40_Save20,Yes,-4.46,45-59,Business,1,Accepted,N/A,High
1/22/2026,49.05,40.22,Spend40_Save20,Yes,20.22,45-59,Individual,1,Declined,Other,Low
1/22/2026,70.54,39.74,Spend40_Save20,Yes,19.74,45-59,Individual,1,Accepted,N/A,Medium
1/22/2026,83.51,14.33,Spend40_Save20,Yes,-5.67,45-59,Couple,2,Accepted,N/A,High
1/22/2026,47.28,32.5,Spend40_Save20,Yes,12.5,30-44,Couple,2,Accepted,N/A,Medium
1/22/2026,207.14,14.91,Spend40_Save20,Yes,-5.09,30-44,Business,1,Accepted,N/A,High
1/22/2026,111.01,44.86,Spend40_Save20,Yes,24.86,30-44,Family,3,Accepted,N/A,Medium
1/22/2026,174.01,5.68,Spend40_Save20,Yes,-14.32,60+,Family,3,Accepted,N/A,High
1/23/2026,49.02,18.41,Spend40_Save20,Yes,-1.59,18-29,Individual,1,Accepted,N/A,Medium
1/23/2026,84.64,8.53,Spend40_Save20,Yes,-11.47,45-59,Family,3,Accepted,N/A,High
1/23/2026,5.02,4.46,Spend40_Save20,No,4.46,45-59,Individual,1,Not_Presented,N/A,Medium
1/23/2026,48.29,47.81,Spend40_Save20,Yes,27.81,30-44,Individual,1,Declined,Infrequent Shopper,Low
1/23/2026,41.31,3.09,Spend40_Save20,Yes,-16.91,30-44,Individual,1,Declined,Infrequent Shopper,Medium
1/23/2026,98.56,29.59,Spend40_Save20,Yes,9.59,30-44,Couple,2,Declined,Lack of Premium Knowledge,Medium
1/23/2026,98.51,48.75,Spend40_Save20,Yes,28.75,45-59,Individual,1,Accepted,N/A,Medium
1/23/2026,20.56,21.42,Spend40_Save20,No,21.42,45-59,Individual,1,Not_Presented,N/A,Low
1/23/2026,92.91,4.06,Spend40_Save20,Yes,-15.94,30-44,Couple,2,Accepted,N/A,High
1/23/2026,92.56,17.28,Spend40_Save20,Yes,-2.72,18-29,Couple,2,Accepted,N/A,High
1/23/2026,85.84,2.58,Spend40_Save20,Yes,-17.42,18-29,Couple,2,Declined,Language Barrier,High
1/24/2026,145.36,34.74,Spend40_Save20,Yes,14.74,60+,Family,4+,Accepted,N/A,High
1/24/2026,126.4,10.04,Spend40_Save20,Yes,-9.96,30-44,Family,4+,Accepted,N/A,High
1/24/2026,41.47,33.58,Spend40_Save20,Yes,13.58,60+,Couple,2,Accepted,N/A,Medium
1/24/2026,55.95,55.23,Spend40_Save20,Yes,35.23,30-44,Individual,1,Accepted,N/A,Medium
1/24/2026,47.06,15.3,Spend40_Save20,Yes,-4.7,45-59,Individual,1,Declined,Other,Medium
1/24/2026,46.47,20.26,Spend40_Save20,Yes,0.26,60+,Individual,1,Accepted,N/A,Medium
1/24/2026,58.78,2.54,Spend40_Save20,Yes,-17.46,30-44,Individual,1,Declined,Lack of Premium Knowledge,High
1/24/2026,83.5,4.11,Spend40_Save20,Yes,-15.89,30-44,Business,2,Accepted,N/A,High
1/24/2026,50.29,19.53,Spend40_Save20,Yes,-0.47,60+,Couple,2,Declined,Doesn't Want Renewal Fee,High
